16,37,209,158,203,241,330,792,792
32,40,208,141,200,234,320,1036,1036
64,28,198,150,191,226,288,634,634
128,31,212,155,208,244,333,460,460
256,35,204,152,196,234,314,895,895
512,27,206,168,199,233,304,512,512
1024,68,219,166,206,257,335,1518,1518
2048,62,333,219,333,404,458,1016,1016
4096,61,391,328,379,441,520,1278,1278
